,name,Born,Died,Genres,Influences
38,Terry Pratchett,"in Beaconsfield, Buckinghamshire, England, The United Kingdom, April 28, 1948","March 12, 2015","['Fantasy & Science Fiction', 'Humor and Comedy', ""Children's""]","['P. G. Wodehouse', 'G. K. Chesterton', 'Lloyd Alexander']"
39,J.D. Salinger,"in Manhattan, New York, The United States, January 01, 1919","January 27, 2010","['Literature & Fiction', 'Short Stories']","['Sherwood Anderson', 'Anton Chekhov', 'F. Scott Fitzgerald', 'Gustave Flaubert']"
40,George Carlin,"in New York City, New York, The United States, May 12, 1937","June 22, 2008","['Biographies & Memoirs', 'Nonfiction', 'Humor']",['Lenny Bruce']
41,John Lennon,"in Liverpool, England, The United Kingdom, October 09, 1940","December 08, 1980","['Biographies & Memoirs', 'Music', 'Poetry']","['Lewis Carroll', 'J.B. Morton', 'Bob Dylan', 'Elvis Presley', 'Chuck Berry', 'Buddy Holly']"
42,W.C. Fields,"in Darby, Pennsylvania, The United States, January 29, 1880","December 25, 1946","['Biographies & Memoirs', 'Humor and Comedy', 'Mystery']",
43,Ayn Rand,"in Saint Petersburg, Russian Empire, February 02, 1905","March 06, 1982","['Literature & Fiction', 'Philosophy', 'Nonfiction']","['Aristotle', 'John Locke', 'Thomas Aquinas', 'Friedrich Nietzsche', 'Victor Hugo', 'Henryk Sienkiewicz', 'Fyodor Dostoevsky', 'Ludwig von Mises', 'Isabel Paterson']"
44,Jimi Hendrix,"in Seattle, Washington, The United States, November 27, 1942","September 18, 1970",['Music'],
45,J.M. Barrie,"in Kirriemuir, Angus, Scotland, May 09, 1860","June 19, 1937","[""Children's"", 'Fiction', 'Drama']","['Walter Scott', 'Robert Louis Stevenson', 'Oscar Wilde', 'Arthur Conan Doyle', 'David Masson', 'Thomas Carlyle']"
46,E.E. Cummings,"in Cambridge, Massachusetts, The United States, October 14, 1894","September 03, 1962",['Poetry'],
47,Khaled Hosseini,"in Kabul, Afghanistan, March 04, 1965",Still alive,['Literature & Fiction'],
48,Harper Lee,"in Monroeville, Alabama, The United States, April 28, 1926","February 19, 2016",['Literature & Fiction'],
49,Madeleine L'Engle,"in New York City, New York, The United States, November 29, 1918","September 06, 2007","['Literature & Fiction', 'Science Fiction & Fantasy', 'Biographies & Memoirs']",
